Website Name,Website URL,Type
Frontend Mentor,https://www.frontendmentor.io/solutions,pchallenge
HackerRank Interview Preparation Kit,https://www.hackerrank.com/interview/interview-preparation-kit,pchallenge
Advent of Code,https://adventofcode.com/2020,pchallenge
Leetcode,https://leetcode.com/,pchallenge
Project Euler,https://projecteuler.net/archives,pchallenge
Edabit,https://edabit.com/,pchallenge
Responsive Breakpoints Generator,https://responsivebreakpoints.com/,htmlcss
CSS Tricks,https://css-tricks.com/,htmlcss
Multiple Git Remote Repositories,https://jigarius.com/blog/multiple-git-remote-repositories,git
Learn X in Y minutes,https://learnxinyminutes.com/,general
Codecademy,https://www.codecademy.com,general
GitHub Education,https://education.github.com,freebies
SQL Tutorial,https://www.youtube.com/watch?v=HXV3zeQKqGY,crashcourse
Flask Tutorial,https://www.youtube.com/watch?v=Z1RJmh_OqeA,crashcourse
The Entire Computer Science Curriculum in 1000 YouTube Videos,https://laconicml.com/computer-science-curriculum-youtube-videos/,crashcourse
100 Days of Code - The Complete Python Pro Bootcamp for 2021 (Paid),https://www.udemy.com/course/100-days-of-code/,crashcourse
C++ tutorial,https://www.youtube.com/watch?v=mUQZ1qmKlLY,crashcourse
Python Tutorial,https://www.youtube.com/watch?v=_uQrJ0TkZlc,crashcourse
Unreal Engine Tutorial,https://www.youtube.com/watch?v=LsNW4FPHuZE,crashcourse
Django tutorial,https://developer.mozilla.org/en-US/docs/Learn/Server-side/Django/Tutorial_local_library_website,crashcourse
The Odin Project (HTML/CSS Tutorial),https://www.theodinproject.com/,crashcourse
中蟒 (中文 Python) 編程語言網站 chinesepython,http://www.chinesepython.org/,nashfun
文言编程,https://wy-lang.org/,nashfun
The Hello World Collection,http://helloworldcollection.de/,nashfun
