Website Name,Website URL,Type,Up?
Frontend Mentor,https://www.frontendmentor.io/solutions,Programming Challenge,
HackerRank Interview Preparation Kit,https://www.hackerrank.com/interview/interview-preparation-kit,Programming Challenge,
Advent of Code,https://adventofcode.com/2020,Programming Challenge,
Leetcode,https://leetcode.com/,Programming Challenge,
Project Euler,https://projecteuler.net/archives,Programming Challenge,
Edabit,https://edabit.com/,Programming Challenge,
Responsive Breakpoints Generator,https://responsivebreakpoints.com/,HTML/CSS,
CSS Tricks,https://css-tricks.com/,HTML/CSS,
Multiple Git Remote Repositories,https://jigarius.com/blog/multiple-git-remote-repositories,Git,
Learn X in Y minutes,https://learnxinyminutes.com/,General,
Codecademy,https://www.codecademy.com,General,
GitHub Education,https://education.github.com,Freebies,
SQL Tutorial,https://www.youtube.com/watch?v=HXV3zeQKqGY,Crashcourse Video,
Flask Tutorial,https://www.youtube.com/watch?v=Z1RJmh_OqeA,Crashcourse Video,
The Entire Computer Science Curriculum in 1000 YouTube Videos,https://laconicml.com/computer-science-curriculum-youtube-videos/,Crashcourse Video,
100 Days of Code - The Complete Python Pro Bootcamp for 2021 (Paid),https://www.udemy.com/course/100-days-of-code/,Crashcourse Video,
C++ tutorial,https://www.youtube.com/watch?v=mUQZ1qmKlLY,Crashcourse Video,
Python Tutorial,https://www.youtube.com/watch?v=_uQrJ0TkZlc,Crashcourse Video,
Unreal Engine Tutorial,https://www.youtube.com/watch?v=LsNW4FPHuZE,Crashcourse Video,
Django tutorial,https://developer.mozilla.org/en-US/docs/Learn/Server-side/Django/Tutorial_local_library_website,Crashcourse Video,
The Odin Project (HTML/CSS Tutorial),https://www.theodinproject.com/,Crashcourse Video,
中蟒 (中文 Python) 編程語言網站 chinesepython,http://www.chinesepython.org/,(Not) Fun,
文言编程,https://wy-lang.org/,(Not) Fun,
The Hello World Collection,http://helloworldcollection.de/,(Not) Fun,
